Player_Name,Percent_dot_balls,Percent_of_6,Percent_of_4,batsman_runs,ball,Matches_batted,Strike Rate,Avg_run_per_match
CM Gautam,0.53164557,0.461538462,1.307692308,169,158,13,106.9620253,13
M Morkel,0.376344086,0.25,0.55,126,93,20,135.483871,6.3
MR Marsh,0.417910448,1,0.642857143,225,201,14,111.9402985,16.07142857
YV Takawale,0.546448087,0.3,2.6,192,183,10,104.9180328,19.2
GC Smith,0.463096961,0.310344828,3.24137931,739,691,29,106.9464544,25.48275862
Kamran Khan,0.6,0,0,3,5,1,60,3
AM Rahane,0.376068376,0.546218487,3.025210084,3445,2925,119,117.7777778,28.94957983
DJG Sammy,0.430278884,0.9,0.75,295,251,20,117.5298805,14.75
RR Pant,0.312736444,1.763157895,3.078947368,1281,793,38,161.5384615,33.71052632
SS Iyer,0.397119342,1.177777778,2.4,1230,972,45,126.5432099,27.33333333
R Ninan,0.5,0,0,3,6,1,50,3
JD Ryder,0.429184549,0.655172414,2.379310345,604,466,29,129.6137339,20.82758621
MA Khote,0.454545455,0.333333333,0.666666667,24,22,3,109.0909091,8
SB Bangar,0.482758621,0.428571429,0.142857143,49,58,7,84.48275862,7
Mohammed Siraj,0.304347826,0.333333333,0.666666667,27,23,3,117.3913043,9
CJ Anderson,0.458715596,1.068965517,1.379310345,538,436,29,123.3944954,18.55172414
R Dravid,0.427007299,0.341463415,3.280487805,2174,1918,82,113.3472367,26.51219512
Y Gnaneswara Rao,0.5,0,3,19,18,1,105.5555556,19
F du Plessis,0.351236147,0.846153846,2.442307692,1462,1173,52,124.6376812,28.11538462
M Kaif,0.465116279,0.272727273,1,259,258,22,100.3875969,11.77272727
SB Wagh,0.666666667,0,0,2,3,2,66.66666667,1
SA Yadav,0.363256785,0.5,1.285714286,608,479,42,126.9311065,14.47619048
ER Dwivedi,0.466666667,1,1,24,15,2,160,12
UBT Chand,0.541401274,0.45,1.6,300,314,20,95.54140127,15
VY Mahesh,0.535714286,0,0,15,28,5,53.57142857,3
S Nadeem,0.670886076,0,0.058823529,32,79,17,40.50632911,1.882352941
KC Cariappa,0.444444444,0.25,0,15,18,4,83.33333333,3.75
Sunny Gupta,1,0,0,0,1,1,0,0
Younis Khan,0.571428571,0,0,3,7,1,42.85714286,3
VR Aaron,0.535714286,0.222222222,0.222222222,46,56,9,82.14285714,5.111111111
ND Doshi,1,0,0,0,13,1,0,0
RS Gavaskar,0.75,0,0,2,8,1,25,2
L Ablish,1,0,0,0,2,1,0,0
D Wiese,0.308510638,0.5,1.5,127,94,8,135.106383,15.875
KK Cooper,0.414285714,0.666666667,0.75,116,70,12,165.7142857,9.666666667
DW Steyn,0.440993789,0.09375,0.4375,166,161,32,103.1055901,5.1875
N Rana,0.397976391,1.3,1.9,749,593,30,126.306914,24.96666667
KW Richardson,0.435897436,0.25,0.5,36,39,4,92.30769231,9
IK Pathan,0.378680203,0.463414634,1.073170732,1150,985,82,116.751269,14.02439024
NJ Maddinson,0.714285714,0,1.333333333,20,21,3,95.23809524,6.666666667
BA Stokes,0.302798982,0.913043478,1.52173913,519,393,23,132.0610687,22.56521739
AUK Pathan,0.538461538,0.285714286,0.714285714,39,26,7,150,5.571428571
Basil Thampi,0.444444444,0.166666667,0.166666667,31,36,6,86.11111111,5.166666667
RR Rossouw,0.490196078,0.6,0.6,53,51,5,103.9215686,10.6
M Rawat,0.485714286,0.090909091,0.363636364,55,70,11,78.57142857,5
CRD Fernando,0,0,0,4,3,2,133.3333333,2
Gurkeerat Singh,0.382142857,0.375,1.5,342,280,24,122.1428571,14.25
SE Bond,0.5,0,0,1,2,1,50,1
AJ Finch,0.422740525,0.917808219,2.410958904,1744,1372,73,127.1137026,23.89041096
JDS Neesham,0.543478261,0.333333333,1,42,46,3,91.30434783,14
R Bhatia,0.379310345,0.276595745,0.510638298,342,290,47,117.9310345,7.276595745
C Nanda,1,0,0,0,1,1,0,0
MA Starc,0.418367347,0,0.909090909,96,98,11,97.95918367,8.727272727
Washington Sundar,0.365384615,0.4,0.5,77,52,10,148.0769231,7.7
P Sahu,0.307692308,0.5,0.5,19,13,2,146.1538462,9.5
LRPL Taylor,0.39433294,0.851851852,1.222222222,1017,847,54,120.0708383,18.83333333
B Kumar,0.460674157,0.081081081,0.432432432,173,178,37,97.19101124,4.675675676
KK Nair,0.39254766,0.629032258,2.548387097,1465,1154,62,126.94974,23.62903226
DPMD Jayawardene,0.406701708,0.512820513,2.564102564,1808,1522,78,118.7910644,23.17948718
R McLaren,0.426966292,0.076923077,1.076923077,159,178,13,89.3258427,12.23076923
VS Yeligati,0.5,0,0,2,2,1,100,2
BJ Hodge,0.38074588,0.682539683,1.936507937,1400,1153,63,121.4223764,22.22222222
WPUJC Vaas,0.328767123,0.272727273,0.181818182,81,73,11,110.9589041,7.363636364
V Sehwag,0.402073104,1.019230769,3.211538462,2728,1833,104,148.8270595,26.23076923
P Parameswaran,0.666666667,0,0,1,3,2,33.33333333,0.5
BB Samantray,0.413793103,0.25,1.625,125,116,8,107.7586207,15.625
PA Patel,0.447210696,0.319672131,2.606557377,2482,2169,122,114.4306132,20.3442623
DA Warner,0.38731909,1.403508772,3.51754386,4014,2902,114,138.3184011,35.21052632
NV Ojha,0.475735294,0.840425532,1.287234043,1555,1360,94,114.3382353,16.54255319
J Yadav,0.5,0,0,6,12,2,50,3
MS Bisla,0.508819539,0.58974359,2.384615385,798,737,39,108.2767978,20.46153846
P Dogra,0.446808511,0.416666667,0.333333333,127,141,12,90.07092199,10.58333333
JP Faulkner,0.357142857,0.511111111,0.8,527,406,45,129.8029557,11.71111111
SPD Smith,0.31807952,0.725806452,2.435483871,1713,1333,62,128.5071268,27.62903226
DJ Thornely,0.574074074,0.5,0.5,39,54,4,72.22222222,9.75
HH Pandya,0.367906067,0.847826087,0.956521739,685,511,46,134.0508806,14.89130435
TS Mills,0.727272727,0.333333333,0,8,11,3,72.72727273,2.666666667
SC Ganguly,0.499245852,0.75,2.446428571,1349,1326,56,101.73454,24.08928571
