,Player_Name,Wickets_per_match,Percent_dot_balls,No_of_6,No_of_4,Bowling_skill,Country_Name,Runs_Conceded,ball,extra_runs,Matches_bowled,Economy_Rate
0,A Choudhary,1.0,0.4537037037037037,1.2,2.6,Left-arm medium,India,137,108,1.4,5,8.0
1,STR Binny,0.46551724137931033,0.3609154929577465,0.2413793103448276,1.2586206896551724,Right-arm medium,India,700,568,0.3620689655172414,58,7.616197183098591
2,YS Chahal,1.2173913043478262,0.37116764514024786,1.4057971014492754,1.6666666666666667,Legbreak googly,India,1906,1533,1.391304347826087,69,7.835616438356165
3,TS Mills,1.0,0.44144144144144143,1.2,3.0,Left-arm fast,England,144,111,2.6,5,8.486486486486486
4,Rashid Khan,1.3225806451612903,0.39918809201623817,1.032258064516129,1.935483870967742,Legbreak googly,Afghanistan,818,739,0.8709677419354839,31,6.860622462787552
5,DJ Hooda,0.3333333333333333,0.3090909090909091,0.6111111111111112,1.1666666666666667,Right-arm offbreak,India,283,220,0.7777777777777778,18,8.100000000000001
6,MC Henriques,0.7636363636363637,0.33877995642701525,0.6727272727272727,2.1818181818181817,Right-arm fast-medium,Australia,1212,918,0.7818181818181819,55,8.202614379084968
7,Bipul Sharma,0.7857142857142857,0.34174311926605505,1.1071428571428572,1.0,Slow left-arm orthodox,India,557,436,0.8571428571428571,28,7.9954128440366965
8,B Kumar,1.2450980392156863,0.4623931623931624,0.696078431372549,2.6862745098039214,Right-arm medium,India,2601,2340,1.7450980392156863,102,7.125641025641025
9,A Nehra,1.375,0.44984802431610943,0.8636363636363636,3.1704545454545454,Left-arm medium-fast,India,2422,1974,1.3068181818181819,88,7.711246200607903
10,BCJ Cutting,0.6875,0.286231884057971,0.875,2.5,Right-arm fast-medium,Australia,399,276,0.5,16,8.847826086956523
11,Imran Tahir,1.4736842105263157,0.3302325581395349,1.631578947368421,1.763157894736842,Legbreak googly,India,1155,860,1.236842105263158,38,8.386046511627907
12,R Bhatia,0.9010989010989011,0.2950030102347983,0.7472527472527473,1.3186813186813187,Right-arm medium-fast,India,1986,1661,0.8021978021978022,91,7.437688139674895
13,A Zampa,1.7272727272727273,0.3422222222222222,1.2727272727272727,1.0909090909090908,Legbreak googly,Australia,270,225,1.0,11,7.493333333333334
14,BA Stokes,0.9583333333333334,0.3932806324110672,0.625,2.7083333333333335,Right-arm fast-medium,England,612,506,1.5,24,7.683794466403162
15,AB Dinda,1.0933333333333333,0.44745122718691,0.7733333333333333,3.0933333333333333,Right-arm medium-fast,India,1987,1589,1.5466666666666666,75,7.940843297671492
16,MJ McClenaghan,1.411764705882353,0.43344155844155846,1.2745098039215685,3.3333333333333335,Left-arm fast-medium,New Zealand,1613,1232,2.0784313725490198,51,8.371753246753247
17,TG Southee,0.8918918918918919,0.4061784897025172,1.027027027027027,3.1621621621621623,Right-arm medium-fast,New Zealand,1146,874,1.5675675675675675,37,8.265446224256292
18,HH Pandya,0.6590909090909091,0.34728682170542635,0.7954545454545454,2.022727272727273,Right-arm medium-fast,India,916,645,1.1590909090909092,44,8.995348837209303
19,PP Chawla,1.020979020979021,0.37093425605536334,1.048951048951049,1.9090909090909092,Legbreak,India,3617,2890,0.8741258741258742,143,7.76885813148789
20,Kuldeep Yadav,1.2333333333333334,0.31761006289308175,1.6,1.4,Slow left-arm chinaman,India,852,636,1.0333333333333334,30,8.330188679245282
21,TA Boult,1.2857142857142858,0.40175953079178883,1.0357142857142858,4.071428571428571,Left-arm fast-medium,New Zealand,946,682,1.8571428571428572,28,8.780058651026394
22,Sandeep Sharma,1.3235294117647058,0.463130659767141,1.0,2.9411764705882355,Right-arm medium,India,1873,1546,1.3823529411764706,68,7.633893919793015
23,T Natarajan,0.3333333333333333,0.3780487804878049,0.8333333333333334,1.5,Left-arm medium,India,109,82,1.1666666666666667,6,8.487804878048781
